"GeneID","B73_1","B73_2","B73_3","B73_4","Mo17_1","Mo17_2","Mo17_3","Mo17_4","B73xMo17_1","B73xMo17_2","B73xMo17_3","B73xMo17_4"
"AC147602.5_FG004",1,0,0,2,0,1,0,0,1,1,1,0
"AC148152.3_FG001",3,4,6,0,8,17,18,20,7,8,19,16
"AC148152.3_FG005",2323,1533,1932,1945,2070,1582,2196,1882,1532,1271,2168,2004
"AC148152.3_FG006",2,1,0,2,4,4,5,3,4,1,1,0
"AC148152.3_FG008",3,3,4,1,31,40,45,49,8,9,4,3
"AC148167.6_FG001",672,598,728,713,743,655,821,824,728,731,809,764
"AC149475.2_FG002",459,438,451,483,467,448,634,532,576,464,638,653
"AC149475.2_FG003",1184,976,1131,1206,891,743,1288,1107,982,891,1241,1141
"AC149475.2_FG005",551,535,360,353,550,524,492,440,513,555,444,398
"AC149475.2_FG007",245,214,169,159,297,262,210,302,321,259,187,221
"AC149810.2_FG003",0,0,0,0,1,1,1,2,3,1,1,1
"AC149810.2_FG004",0,0,0,0,0,0,0,0,0,0,0,0
"AC149810.2_FG008",36,47,79,68,33,33,48,57,45,42,73,68
"AC149818.2_FG001",258,267,123,80,397,318,184,195,298,388,192,128
"AC149818.2_FG004",110,103,141,123,50,56,118,95,118,51,111,120
"AC149818.2_FG005",19,21,35,34,8,14,16,28,19,27,26,22
"AC149818.2_FG006",316,293,192,202,567,434,340,382,389,451,273,262
"AC149818.2_FG007",24,22,17,26,19,20,23,34,31,19,34,36
"AC149818.2_FG008",95,66,55,72,90,103,74,105,77,102,75,83
"AC149818.2_FG009",9,5,4,20,6,4,9,10,8,2,10,11
"AC149828.2_FG002",386,382,503,507,388,412,716,570,453,398,623,588
"AC149828.2_FG004",149,111,130,146,74,74,109,87,151,72,128,140
"AC149828.2_FG005",0,0,2,1,0,0,0,0,1,0,2,0
"AC149829.2_FG002",57,36,38,46,42,42,53,90,34,28,32,36
"AC149829.2_FG003",189,178,198,216,151,133,179,147,150,166,180,177
"AC149829.2_FG004",3,4,4,0,8,8,12,14,10,0,5,7
"AC149829.2_FG006",988,879,985,1029,769,690,1052,884,870,782,1155,1061
"AC150739.3_FG001",93,85,108,102,114,86,112,118,65,71,141,116
"AC152495.1_FG002",33,46,18,13,4,0,2,6,8,21,12,2
"AC152495.1_FG003",11,12,8,8,11,6,7,5,11,11,6,5
"AC152495.1_FG010",18,12,2,1,5,6,2,0,7,10,4,3
"AC152495.1_FG011",3,5,1,0,0,0,0,0,1,0,0,1
"AC152495.1_FG012",94,80,100,91,168,121,148,158,109,93,115,113
"AC152495.1_FG013",4,3,0,0,0,1,0,1,3,1,0,1
"AC152495.1_FG015",0,0,0,0,0,0,1,0,0,0,0,0
"AC152495.1_FG017",41,44,16,13,2,2,2,0,12,25,14,8
"AC155352.2_FG001",0,0,0,0,0,0,0,0,0,0,2,1
"AC155352.2_FG010",1,2,0,1,4,1,2,2,3,3,2,2
"AC155376.2_FG002",0,0,0,0,0,0,0,0,0,0,0,0
"AC155376.2_FG004",232,254,265,313,150,167,228,250,194,155,277,322
"AC155376.2_FG005",800,781,627,536,1232,1141,1119,969,1029,1176,956,767
"AC155377.1_FG001",1758,2050,173,170,2014,2205,201,258,2057,2454,166,138
"AC155377.1_FG002",263,262,247,272,295,275,306,280,241,293,285,285
"AC155390.2_FG002",110,90,60,32,62,45,51,34,55,106,60,39
"AC155434.2_FG001",18,8,25,23,12,19,32,63,7,4,22,22
"AC155434.2_FG003",0,0,0,0,0,0,0,0,0,1,0,0
"AC155434.2_FG004",1010,985,196,212,1330,1237,415,462,1056,1306,269,222
"AC155434.2_FG005",82,60,77,86,31,44,68,50,41,51,68,74
"AC155434.2_FG006",283,221,354,311,305,274,464,478,225,238,363,379
"AC155496.2_FG009",613,680,311,341,650,687,473,452,625,714,412,388
"AC155610.2_FG007",904,720,921,1046,633,508,843,830,749,567,882,966
"AC155610.2_FG009",187,176,160,171,121,119,150,163,185,144,159,143
"AC155622.2_FG001",1274,1111,944,1045,1186,996,1124,1033,1227,1169,1081,1041
"AC155622.2_FG004",526,476,503,540,447,397,544,531,546,434,543,535
"AC155624.2_FG006",307,275,270,306,317,264,342,362,338,310,344,330
"AC155624.2_FG011",121,110,193,176,172,193,333,278,169,139,246,266
"AC159612.1_FG007",170,158,292,313,96,141,320,256,207,91,330,419
"AC165171.2_FG002",9,11,23,15,18,15,12,11,14,9,7,7
"AC165178.2_FG004",3,4,3,3,3,1,3,1,5,3,3,0
"AC166636.1_FG007",2,3,2,5,5,4,6,3,10,0,5,9
"AC166636.1_FG008",39,29,36,28,32,26,50,89,36,37,40,55
"AC166636.1_FG009",8,3,3,3,3,7,3,1,4,4,2,3
"AC177831.3_FG004",4,0,1,0,2,3,5,4,0,2,2,2
"AC177833.2_FG001",2,0,1,0,1,0,1,0,0,1,0,0
"AC177837.3_FG002",0,0,0,0,0,0,0,0,1,0,0,0
"AC177838.2_FG015",12,22,4,6,1,0,0,0,10,13,2,2
"AC177844.2_FG003",0,0,0,0,0,0,0,0,0,1,0,0
"AC177850.2_FG003",10,7,10,4,32,33,28,33,22,22,26,27
"AC177850.2_FG005",352,302,207,151,220,224,157,229,331,321,155,128
"AC177860.4_FG002",0,1,0,0,1,0,0,0,0,0,1,1
"AC177890.3_FG005",0,0,0,2,0,1,3,1,2,0,0,3
